MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FstFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,YrBltAndRemod,TotalSF,Total_sqr_footage,Total_Bathrooms,Total_porch_sf,haspool,has2ndfloor,hasgarage,hasbsmt,hasfireplace,SalePrice
60,RL,13.83381613,8.942173428,Pave,None,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,3.040151717,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,19.44543579,Gd,TA,PConc,Gd,TA,No,GLQ,189.9232398,Unf,0,30.26951718,522.1596846,GasA,Ex,Y,SBrkr,6.631897078,1288.755143,0,10.28604345,0.994480501,0,2,1.070980668,3,0.717364158,Gd,2.600189118,Typ,0,None,Attchd,2003,RFn,2,548,TA,TA,Y,0,12.20847643,0,0,0,0,None,None,None,0,2,2008,WD,Normal,4006,46.25777212,14.10726269,3.5,20.30094098,0,1,1,1,0,12.24769912
20,RL,15.50745492,9.066928516,Pave,None,Reg,Lvl,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,4.247350355,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Gd,TA,Gd,ALQ,243.4876297,Unf,0,44.61047582,744.6267969,GasA,Ex,Y,SBrkr,7.005439009,0,0,9.73143549,0,0.682665815,2,0,3,0.717364158,TA,2.257835071,Typ,0.925291399,TA,Attchd,1976,RFn,2,460,TA,TA,Y,61.91981757,0,0,0,0,0,None,None,None,0,5,2007,WD,Normal,3952,45.960971,13.88365769,2.5,58.18577755,0,0,1,1,1,12.10901644
60,RL,14.18297346,9.221949114,Pave,None,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,3.040151717,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,17.77956354,Gd,TA,PConc,Gd,TA,Mn,GLQ,142.8170188,Unf,0,57.56626434,557.7458202,GasA,Ex,Y,SBrkr,6.701329005,1308.151821,0,10.3665829,0.994480501,0,2,1.070980668,3,0.717364158,Gd,2.257835071,Typ,0.925291399,TA,Attchd,2001,RFn,2,608,TA,TA,Y,0,9.995005412,0,0,0,0,None,None,None,0,9,2008,WD,Normal,4003,47.22551585,13.92541087,3.5,15.7421422,0,1,1,1,1,12.31717117
70,RL,13.23336675,9.061823599,Pave,None,IR1,Lvl,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,3.040151717,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0,TA,TA,BrkTil,TA,Gd,No,ALQ,76.74477584,Unf,0,65.60579483,466.0870244,GasA,Gd,Y,SBrkr,6.743303948,1131.09652,0,10.29359734,0.994480501,0,1,0,3,0.717364158,Gd,2.438139807,Typ,0.925291399,Gd,Detchd,1998,Unf,3,642,TA,TA,Y,0,9.046381781,19.05698448,0,0,0,None,None,None,0,2,2006,WD,Abnorml,3885,45.5963477,13.45465258,2,59.32876296,0,1,1,1,1,11.84940484
60,RL,15.92636595,9.453572405,Pave,None,IR1,Lvl,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,3.040151717,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,25.42236072,Gd,TA,PConc,Gd,TA,Av,GLQ,179.3639831,Unf,0,61.90419537,681.255607,GasA,Ex,Y,SBrkr,6.911876064,1612.742947,0,10.75506162,0.994480501,0,2,1.070980668,4,0.717364158,Gd,2.747580062,Typ,0.925291399,TA,Attchd,2000,RFn,3,836,TA,TA,Y,46.13592413,14.43715236,0,0,0,0,None,None,None,0,12,2008,WD,Normal,4000,51.26994365,14.60718192,3.5,55.33813852,0,1,1,1,1,12.4292202
50,RL,16.0295114,9.443590421,Pave,None,IR1,Lvl,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,3.040151717,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,Wood,Gd,TA,No,GLQ,195.2351665,Unf,0,17.84912359,488.588537,GasA,Ex,Y,SBrkr,6.561896912,829.7332001,0,9.86933297,0.994480501,0,1,1.070980668,1,0.717364158,TA,2.054106925,Typ,0,None,Attchd,1993,Unf,2,480,TA,TA,Y,15.79237391,8.305501654,0,6.336456316,0,0,None,MnPrv,Shed,7.132708395,10,2009,WD,Normal,3988,43.2316537,13.68639434,2.5,69.35744021,0,1,1,1,0,11.8706069
20,RL,14.96866683,9.115010033,Pave,None,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,3.040151717,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,18.97410421,Gd,TA,PConc,Ex,TA,Av,GLQ,314.5688683,Unf,0,47.6670203,970.3579863,GasA,Ex,Y,SBrkr,7.288289362,0,0,10.26867038,0.994480501,0,2,0,3,0.717364158,Gd,2.438139807,Typ,0.925291399,Gd,Attchd,2004,RFn,2,636,TA,TA,Y,55.79844433,11.77706982,0,0,0,0,None,None,None,0,8,2007,WD,Normal,4009,51.48928873,14.8243202,3,59.95854043,0,0,1,1,1,12.63460628
60,RL,15.50745492,9.143476426,Pave,None,IR1,Lvl,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,3.467927534,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,21.36943437,TA,TA,CBlock,Gd,TA,Mn,ALQ,220.5647373,BLQ,4.863991567,37.80166091,660.5555202,GasA,Ex,Y,SBrkr,6.879409434,1498.2344,0,10.6601487,0.994480501,0,2,1.070980668,3,0.717364158,TA,2.438139807,Typ,1.756857061,TA,Attchd,1973,RFn,2,484,TA,TA,Y,52.83088357,22.65290932,17.67713817,0,0,0,None,None,Shed,6.322155806,11,2009,WD,Normal,3946,50.38913748,14.74110301,3.5,98.29716059,0,1,1,1,1,12.20607765
50,RM,12.08542448,8.626587697,Pave,None,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,3.040151717,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,91.94424957,575.4579124,GasA,Gd,Y,FuseF,6.802537938,1124.691032,0,10.3540776,0,0,2,0,2,1.160275588,TA,2.600189118,Min1,1.756857061,TA,Detchd,1931,Unf,2,468,Fa,TA,Y,27.63475462,0,16.88874716,0,0,0,None,None,None,0,4,2008,WD,Abnorml,3881,47.36116412,13.20888938,2,57.80203184,0,1,1,1,1,11.7745279
190,RL,11.95180284,8.81504251,Pave,None,Reg,Lvl,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,3.467927534,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,GLQ,218.9971785,Unf,0,29.01663827,596.9752835,GasA,Ex,Y,SBrkr,6.852977046,0,0,9.447570662,0.994480501,0,1,0,2,1.160275588,TA,2.054106925,Typ,1.756857061,TA,Attchd,1939,RFn,1,205,Gd,TA,Y,0,2.375520417,0,0,0,0,None,None,None,0,1,2008,WD,Normal,3889,42.51636227,13.44719359,2,2.811536141,0,0,1,1,1,11.67844838
20,RL,14.41145359,9.217596225,Pave,None,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,3.040151717,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Rec,229.7044311,Unf,0,28.24709773,623.9067923,GasA,Ex,Y,SBrkr,6.819339369,0,0,9.385472528,0.994480501,0,1,0,3,0.717364158,TA,2.054106925,Typ,0,None,Detchd,1965,Unf,1,384,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,2,2008,WD,Normal,3930,42.61285519,13.47396863,2,0,0,0,1,1,0,11.77144388
60,RL,16.0295114,9.278804593,Pave,None,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,3.040151717,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,23.17321736,Ex,TA,PConc,Ex,TA,No,GLQ,247.2722741,Unf,0,33.48995339,697.5558175,GasA,Ex,Y,SBrkr,6.942464581,1759.110864,0,10.86053202,0.994480501,0,3,0,4,0.717364158,Ex,3.008171659,Typ,1.756857061,Gd,BuiltIn,2005,Fin,3,736,TA,TA,Y,38.54490825,6.785555862,0,0,0,0,None,None,None,0,7,2006,New,Partial,4011,52.18463948,15.07514611,4,39.93269612,0,1,1,1,1,12.75130259
20,RL,14.52446121,9.360804451,Pave,None,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,3.467927534,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0,TA,TA,CBlock,TA,TA,No,ALQ,196.2514363,Unf,0,33.25872784,553.3095499,GasA,TA,Y,SBrkr,6.692920039,0,0,9.153790208,0.994480501,0,1,0,2,0.717364158,TA,1.819118684,Typ,0,None,Detchd,1962,Unf,1,352,TA,TA,Y,37.29603491,0,0,0,19.12036769,0,None,None,None,0,9,2008,WD,Normal,3924,40.47246587,13.00200471,2,60.45975073,0,0,1,1,0,11.87757552
